Артикул;Назва товару;Ціна (грн)
12-12-81-2;LED світильник LEBRON L-FDL-S-1041 10W 4100K вбудований 230V;66.3
12-12-88-1;LED світильник LEBRON L-FDL-S-1841 18W 4100K вбудований 230V;#N/A
12-12-94-2;LED світильник LEBRON L-FDL-S-2441 24W 4100K вбудований 230V;133.2
12-12-96-2;LED світильник LEBRON L-FDL-S-3641 36W 4100K вбудований 230V;198
13-20-02-2;LED світильник LEBRON L-T5-PL-541 5W 4100K конектор шнур живлення кріплення 230V;156
13-20-04-2;LED світильник LEBRON L-T5-PL-841 8W 4100K конектор шнур живлення кріплення 230V;174
13-20-05-2;LED світильник LEBRON L-T5-PL-865 8W 6500К конектор шнур живлення кріплення 230V;174
13-20-06-2;LED світильник LEBRON L-T5-PL-1241 12W 4100K конектор шнур живлення кріплення 230V;198
13-20-07-2;LED світильник LEBRON L-T5-PL-1265 12W 6500К конектор шнур живлення кріплення 230V;198
13-20-08-2;LED світильник LEBRON L-T5-PL-1641 16W 4100K конектор шнур живлення кріплення 230V;225
13-20-09-2;LED світильник LEBRON L-T5-PL-1665 16W 6500K конектор шнур живлення кріплення 230V;225
13-22-15-2;LED світильник LEBRON L-MRL-541 5W 4100K IP44 300мм 230V;399
13-47-02;Світлодіодний модуль LEBRON L-LM6409 SMD 2835 0.72W DC12V ІР65;4.8
13-47-12;Світлодіодний модуль LEBRON L-LM6012 SMD 2835 1.2W DC12V ІР65;5.1
13-47-14;Світлодіодний модуль LEBRON L-LM6315S SMD2835 1.5W DC12V ІР65;5.4
13-47-20;Світлодіодний модуль LEBRON L-LM3DPYY SMD2835 1.6W DC12V ІР65;5.4
13-47-25;Світлодіодний модуль LEBRON L-LM6113 SMD 2835 1.5W DC12V ІР65;4.8
13-47-30;Світлодіодний модуль LEBRON L-LM6518 COB 2W DC12V ІР65;6.6
13-47-34;Світлодіодний модуль LEBRON L-LM4630 COB 2.4W DC12V ІР65;6.9
13-47-44;Світлодіодний модуль LEBRON L-LM7520 SMD 2835 1.4W DC12V ІР65;7.5
13-47-55;Світлодіодний модуль LEBRON L-LM7015 SMD 2835 1.5W DC12V ІР65;8.7
13-47-65;Світлодіодний модуль LEBRON L-LM4531 SMD 2835 1.5W DC12V ІР65;9.6
13-47-66;Світлодіодний модуль LEBRON L-LM12CB SMD2835 3.2W DC12V ІР65;11.7
13-47-68;Світлодіодний модуль LEBRON L-LM4036 SMD2835 2.4W DC12V ІР65;8.7
13-47-70;Світлодіодний модуль LEBRON L-LM6DP mini SMD2835 2.4W DC12V ІР65;10.8
13-47-72;Світлодіодний модуль LEBRON L-LM6SP mini SMD2835 2.4W DC12V ІР65;10.8
13-47-74;Світлодіодний модуль LEBRON L-LM10YY SMD2835 3.2W DC12V ІР65;19.5
13-47-76;Світлодіодний модуль LEBRON L-LM3P9D SMD2835 3.3W DC12V ІР65;19.5
13-47-83;Світлодіодний модуль LEBRON L-LM12CSB COB 3W DC12V ІР65;35.1
13-50-01;Світлодіодна стрічка LEBRON L-LS SMD 2835 60LED 4.8W/m DC12V 6000K ІР20;23.7
13-50-02;Світлодіодна стрічка LEBRON L-LS SMD 2835 60LED 4.8W/m DC12V 4200K ІР20;23.7
13-50-61;Світлодіодна стрічка LEBRON L-LS SMD 2835 60LED 4.8W/m DC12V 6000K ІР65;33.6
13-53-61;Світлодіодна стрічка LEBRON L-LS SMD 2835 120LED 9.6W/m DC12V 6000K ІР20;46.5
13-53-62;Світлодіодна стрічка LEBRON L-LS SMD 2835 120LED 9.6W/m DC12V 4200K ІР20;46.5
13-53-63;Світлодіодна стрічка LEBRON L-LS SMD 2835 120LED 9.6W/m DC12V 2800K ІР20;46.5
13-53-70;Світлодіодна стрічка LEBRON L-LS SMD 2835 120LED 16W/m DC12V 6000K ІР20;59.1
13-54-21;Світлодіодна стрічка LEBRON L-LS SMD 2835 120LED 9.6W/m DC12V 6000K ІР65;56.7
13-54-22;Світлодіодна стрічка LEBRON L-LS SMD 2835 120LED 9.6W/m DC12V 4200K ІР65;56.7
13-59-01;Світлодіодна стрічка LEBRON L-LS SMD 5050 60LED 14.4W/m DC12V 6000K ІР20;42.9
13-59-15;Світлодіодна стрічка LEBRON L-LS SMD 5050 60LED 14.4W/m DC12V RGB ІР20;63.6
13-60-10;Світлодіодна стрічка LEBRON L-LS СОВ 320LED 10W/m DC12V 4000K ІР20;63.6
13-60-11;Світлодіодна стрічка LEBRON L-LS СОВ 320LED 10W/m DC12V 6000K ІР20;63.6
13-60-12;Світлодіодна стрічка LEBRON L-LS СОВ 320LED 10W/m DC24V 4000K ІР20;63.6
13-60-13;Світлодіодна стрічка LEBRON L-LS СОВ 320LED 10W/m DC24V 6000K ІР20;63.6
13-75-01-2;LED стрічка NEON light LEBRON L-NS 8x16мм SMD 2835 120LED 7W/m AC230V 6500K ІР65 (1м) заглушка;116.1
13-75-04-2;LED стрічка NEON light LEBRON L-NS 8x16мм SMD 2835 120LED 7W/m AC230V синій ІР65 (1м) заглушка;116.1
13-75-05-2;LED стрічка NEON light LEBRON L-NS 8x16мм SMD 2835 120LED 7W/m AC230V зелений ІР65 конектор 1м;79.2
13-75-06-2;LED стрічка NEON light LEBRON L-NS 8x16мм SMD 2835 120LED 7W/m AC230V червоний ІР65 конектор 1м;79.2
13-75-08;Світлодіодна стрічка NEON light LEBRON L-NS 8x16мм SMD 2835 120LED 7W/m AC220V блакитний ІР65;65.7
13-75-09-2;LED стрічка NEON light LEBRON L-NS 8x16мм SMD 2835 120LED 7W/m AC230V золотий ІР65 (1м) заглушка;116.1
13-75-21;Світлодіодна стрічка NEON LEBRON L-NS 8x16мм SMD 2835 120LED 7W/m AC220V 6500K ІР65 (1м);156
13-75-22;Світлодіодна стрічка NEON LEBRON L-NS 8x16мм SMD 2835 120LED 7W/m AC220V 4000K ІР65 (1м);156
13-75-24;Світлодіодна стрічка NEON LEBRON L-NS 8x16мм SMD 2835 120LED 7W/m AC220V синій ІР65 (1м);156
13-75-25;Світлодіодна стрічка NEON LEBRON L-NS 8x16мм SMD 2835 120LED 7W/m AC220V зелений ІР65 (1м);109.5
13-75-26;Світлодіодна стрічка NEON LEBRON L-NS 8x16мм SMD 2835 120LED 7W/m AC220V червоний ІР65 (1м);99
13-75-27;Світлодіодна стрічка NEON LEBRON L-NS 8x16мм SMD 2835 120LED 7W/m AC220V рожевий ІР65 (1м);156
13-75-28;Світлодіодна стрічка NEON LEBRON L-NS 8x16мм SMD 2835 120LED 7W/m AC220V блакитний ІР65 (1м);156
13-75-29;Світлодіодна стрічка NEON LEBRON L-NS 8x16мм SMD 2835 120LED 7W/m AC220V золотий ІР65 (1м);109.5
13-75-30;Світлодіодна стрічка NEON LEBRON L-NS 8x16мм SMD 2835 120LED 7W/m AC220V жовтий лимонний ІР65;156
13-75-71-2;LED стрічка NEON LEBRON L-NS-R 300° 14мм SMD 2835 120LED 7W/m AC230V 4200K ІР65 (1м) заглушка;159
13-75-74-2;LED стрічка NEON LEBRON L-NS-R 300° 14мм SMD 2835 120LED 7W/m AC230V синій ІР65 конектор 1м;82.5
13-75-75;Світлодіодна стрічка NEON LEBRON L-NS 300° 14мм SMD 2835 120LED 7W/m AC220V зелений ІР65 (1м);82.5
13-75-76;Світлодіодна стрічка NEON LEBRON L-NS 300° 14мм SMD 2835 120LED 6W/m AC220V червоний ІР65 (1м);82.5
13-75-78;Світлодіодна стрічка NEON LEBRON L-NS 300° 14мм SMD 2835 120LED 7W/m AC220V блакитний ІР65 (1м);82.5
13-75-79;Світлодіодна стрічка NEON LEBRON L-NS 300° 14мм SMD 2835 120LED 6W/m AC220V помаранчевий ІР65;82.5
13-75-80-2;LED стрічка NEON LEBRON L-NS-R 300° 14мм SMD 2835 120LED 6W/m AC230V лимонний ІР65 конектор 1м;82.5
13-78-00;З'єднувач (зажим) LEBRON L-CLIP для світлодіодних стрічок 8мм (10шт);53.7
13-78-01;З'єднувач (зажим) LEBRON L-CLIP для світлодіодних стрічок 10мм (10шт);50.7
13-78-02;З'єднувач (зажим) LEBRON L-CLIP для світлодіодних стрічок RGB 10мм (10шт);73.2
13-78-20;З'єднувач (провід+зажим) LEBRON L-CLIP для світлодіодних стрічок 8мм (10шт);85.5
13-78-21;З'єднувач (провід+зажим) LEBRON L-CLIP для світлодіодних стрічок 10мм (10шт);96
13-78-22;З'єднувач (провід+зажим) LEBRON L-CLIP для світлодіодних стрічок RGB 10мм (10шт);132
13-78-40;З'єднувач (провід+2 зажима) LEBRON L-CLIP для світлодіодних стрічок 8мм (10шт);136.2
13-78-61-1;Профіль алюмінієвий для LED LEBRON L-SP-A-1 накладний матова лінза заглушки кріплення 1м;66
13-78-64-1;Профіль алюмінієвий для LED LEBRON L-SP-A-2 накладний матова лінза заглушки кріплення 2м;111
13-78-66-1;Профіль алюмінієвий для LED LEBRON L-SP-A-2Bl накладний чорний матова лінза заглушки кріплення 2м;114
13-78-67-1;Профіль алюмінієвий для LED LEBRON L-SP-A-2Wh накладний білий матова лінза заглушки кріплення 2м;107.7
13-78-75-1;Профіль алюмінієвий для LED LEBRON L-SP-B-2 вбудований матова лінза заглушки кріплення 2м;117
13-78-76-1;Профіль алюмінієвий для LED LEBRON L-SP-B-2Bl вбудов. чорний матова лінза заглушки кріплення 2м;115.2
13-78-77-1;Профіль алюмінієвий для LED LEBRON L-SP-B-2Wh вбудов. білий матова лінза заглушки кріплення 2м;127.2
13-78-78;Профіль алюмінієвий LEBRON L-SP-2 світлодіодний вбудований матова лінза (комплект) 2 м;99.6
13-78-85-1;Профіль алюмінієвий для LED LEBRON L-SP-C-1 кутовий матова лінза заглушки кріплення 1м;68.4
